ISO	CaseForms_Jesus	Language	Latitude	Longitude
tbo	Same	Tawala	-10.3115	150.644
tby	Same	Tabaru	1.46563	127.633
tbz	Same	Ditammari	10.1614	1.18045
tcc	Same	Barabayiiga-Gisamjanga	-4.4131	35.2321
tcs	Same	Torres Strait-Lockhart River Creole	-11.066	142.692
tcz	Different	Thado Chin	24.096	93.722
tdt	Same	Tetun Dili	-8.58405	125.583
ted	Same	Tepo Krumen	5.16267	-7.66346
tee	Same	Huehuetla Tepehua	20.6189	262.0653
tel	Different	Telugu	16.4529	78.7024
tem	Same	Timne	8.90294	-12.3331
teo	Same	Teso	1.18321	33.9394
ter	Same	Terena-Kinikinao-Chane	-20.6614	303.9671
tet	Same	Tetum	-9.11217	125.528
tew	Different	Rio Grande Tewa	35.9053	253.876
tgk	Different	Tajik	38.8213	68.5549
tgl	Different	Tagalog	14.06	121.747
tgo	Same	Sudest	-11.5229	153.488
tgp	Same	Movono	-15.5643	166.958
tha	Same	Thai	14.192	100.671
thk	Same	Tharaka	-0.13221	38.073
tif	Same	Tifal	-5.03899	141.293
tih	Same	Timugon Murut	5.1796	115.826
tik	Same	Tikar	5.87004	11.6104
tim	Different	Timbe	-6.06875	147.057
tir	Different	Tigrinya	15.3359	38.9266
tiy	Same	Tiruray	6.77321	124.127
tke	Same	Takwane	-16.2276	36.249
tku	Same	Upper Necaxa Totonac	20.236	262.19
tlb	Same	Tobelo	1.0946	128.154
tlf	Same	Telefol	-5.07444	141.731
tlh	Same	Klingon	NA	NA
tlj	Same	Talinga-Bwisi	0.676185	29.9494
tmd	Same	Haruai	-5.09522	144.3375
tna	Same	Tacana	-13.39249	291.95944
tnc	Same	Tanimuca-Retuarã	-0.59023	289.6147
tnk	Same	Kwamera	-19.5954	169.442
tnn	Same	North Tanna	-19.3733	169.303
tnp	Same	Whitesands	-19.5019	169.381
tob	Same	Toba	-23.77	298.04
toc	Same	Coyutla Totonac	20.5447	262.3148
toh	Same	Gitonga	-23.7964	35.1577
toi	Same	Tonga (Zambia)	-17.422325	27.103495
toj	Same	Tojolabal	16.2572	268.2175
ton	Same	Tonga (Tonga Islands)	-21.17	184.75
too	Same	Xicotepec De Juárez Totonac	20.6532	262.2537
top	Same	Papantla Totonac	20.5671	262.7446
tos	Same	Highland Totonac	20.3798	262.3841
tpa	Same	Taupota	-10.2275	150.373
tpi	Same	Tok Pisin	-9.41971	147.303
tpm	Same	Tampulma	9.75577	-1.35467
tpp	Same	Pisaflores Tepehua	20.7039	261.9695
tpt	Same	Tlachichilco Tepehua	20.704	261.8053
tpz	Same	Tinputz	-5.58358	154.972
tqb	Same	Tenetehara	-2.6123	311.7641
trc	Same	Copala Triqui	17.1541	262.0174
trn	Same	Trinitario-Javeriano-Loretano	-15.3331	294.5904
tro	Same	Tarao	24.4003	94.1703
trp	Different	Kok Borok	23.1916	91.4673
trq	Same	San Martín Itunyoso Triqui	17.2428	262.0798
tsg	Same	Tausug	5.12236	118.88
tsn	Same	Tswana	-24.368	24.7587
tso	Same	Tsonga	-23.5754	31.8105
tsw	Same	Salka-Tsishingini	10.2882	5.11073
tsz	Different	Purepecha	19.2467	258.369
ttc	Same	Tektiteko	15.4599	267.8864
tte	Same	Bwanabwana	-10.6599	151.034
ttq	Same	Tawallammat Tamajaq	13.9878	4.47692
tuc	Same	Mutu	-5.79405	148.014
tue	Different	Tuyuca	0.39441	289.956485
tuf	Different	Central Tunebo	6.8867	287.903
tui	Same	Tupuri	10.0144	14.8697
tuk	Different	Turkmen	37.08719	59.17574
tum	Same	Tumbuka	-11.3297	33.3738
tuo	Different	Tucano	0.579755	290.4237
tur	Different	Turkish	39.8667	32.8667
tvk	Same	Southeast Ambrym	-16.2975	168.211
twi	Same	Twi	NA	NA
twu	Same	Termanu	-10.7326	123.169
txq	Same	Tii	-10.8425	122.963
tyv	Different	Tuvinian	51.7	94.36667
tzh	Same	Tzeltal	16.6384	267.7214
tzj	Same	Tz'utujil	14.6351	268.7988
tzo	Same	Tzotzil	16.6362	267.2612
ubr	Same	Ubir	-9.59044	149.396
ubu	Different	Umbu-Ungu	-5.9513	143.97
udu	Same	Uduk	9.16012	34.2293
uig	Different	Uighur	43.88	87.38
ukr	Different	Ukrainian	49.796	29.945
upv	Same	Uripiv-Wala-Rano-Atchin	-16.00951	167.34643
ura	Same	Urarina	-4.44006	284.5789
urb	Same	Urubú-Kaapor	-2.46455	313.7796
urd	Same	Urdu	25	67
urk	Same	Urak Lawoi'	7.5258	99.0768
urt	Same	Urat	-3.60065	142.79
usp	Same	Uspanteco	15.3648	269.1107
uvh	Same	Uri	-6.41993	146.608
uvl	Same	Lote	-5.954	150.911
uzb	Different	Uzbek	39	66
vag	Same	Vagla	9.33848	-2.31333
vap	Same	Vaiphei	24.1378	93.7195
var	Different	Huarijio	27.8685	251.563
ven	Same	Venda	-22.188	29.9523
vid	Same	Vidunda	-7.52674	36.9316
vie	Same	Vietnamese	20.681188	105.774071
viv	Same	Iduna	-9.34361	150.24
vmy	Same	Ayautla Mazatec	18.0993	263.4048
vun	Same	Vunjo	-3.42531	37.5847
vut	Same	Vute	6.13603	11.8839
waj	Different	Waffa	-6.55783	146.09
wal	Different	Wolaytta	6.32668	37.7537
wap	Same	Wapishana	2.58744	300.1979
war	Same	Waray (Philippines)	11.4911	125.012
wat	Same	Kaninuwa	-9.23148	150.253
way	Same	Wayana	2.77537	305.5571
wbm	Same	Zhenkang Wa	23.1024	99.108
wbp	Different	Warlpiri	-20.1008	131.05
wca	Same	Yanomám	2.48999	297.1478
wed	Same	Wedau	-10.1246	150.172
wer	Same	Weri	-7.71834	146.914
whk	Same	Eastern Lowland Kenyah	1.56635	116.655
wib	Same	Southern Toussian	10.877	-4.65678
wiu	Different	Wiru	-6.35863	144.214
wmt	Different	Walmajarri	-19.7229	126.113
wmw	Same	Mwani	-12.5821	40.4601
wnc	Different	Wantoat	-6.15216	146.513
wnu	Same	Usan	-4.84265	145.362
wob	Same	Wobe-Wè Northern	7.40391	-7.24617
wol	Same	Wolof	15.2534	-15.383
wos	Different	Hanga Hundi	-3.90364	142.849
wrk	Same	Garrwa	-17.4504	137.72014
wrs	Different	Waris	-3.139	140.931
wsk	Same	Waskia	-4.57978	145.979
wuv	Same	Wuvulu-Aua	-1.73938	142.851
wwa	Same	Waama	10.5956	1.65318
xal	Different	Oirad-Kalmyk-Darkhat	46.566667	45.316667
xbi	Same	Kombio	-3.48467	142.694
xbr	Same	Kambera	-9.88447	120.235
xed	Same	Hdi	10.942	13.6881
xho	Same	Xhosa	-31.0389	28.0769
xla	Same	Kamula	-7.28798	142.639
xnn	Same	Northern Kankanay	17.1057	120.786
xon	Same	Konkomba	9.82224	0.2783
xpe	Same	Liberia Kpelle	6.92048	-9.96128
xrb	Same	Eastern Karaboro	10.4987	-4.52253
xsb	Different	Tinà Sambal	15.5797	120.095
xsi	Same	Sio	-5.96037	147.353
xsm	Same	Kasem	11.0824	-1.39076
xsr	Different	Solu-Khumbu Sherpa	27.674	86.9994
xsu	Same	Sanumá	4.5	295.5
xtd	Same	Diuxi-Tilantongo Mixtec	17.3596	262.6139
xtm	Same	Magdalena Peñasco Mixtec	17.2837	262.4587
xtn	Same	Northern Tlaxiaco Mixtec	17.4806	262.1651
xuo	Same	Kuo	7.97771	15.4843
yaa	Same	Yaminahua	-9.8846	288.4036
yad	Same	Yagua	-3.42913	287.7814
yal	Same	Yalunka	9.97186	-11.2836
yam	Same	Yamba	6.535505	11.07711
yan	Same	Mayangna	14.1259	275.6561
yao	Same	Yao	-13.6119	35.2387
yaq	Different	Yaqui	29.9446	249.319
yby	Different	Yaweyuha	-6.1868	145.359
ycn	Same	Yucuna	-0.76075	288.9967
yim	Different	Yimchungru Naga	25.7675	94.8087
yka	Same	Yakan	6.531023	122.021729
yle	Same	Yele	-11.3796	154.127
yli	Same	Angguruk Yali	-4.0836	139.457
yml	Same	Iamalele	-9.45005	150.573
yom	Same	Yombe	-5.1263	12.9657
yon	Same	Yonggom	-6.42956	141.213
yor	Same	Yoruba	7.15345	3.67225
yrb	Different	Yareba	-9.50651	148.605
yre	Same	Yaouré	6.95282	-5.57851
yrk	Different	Tundra Nenets	66.1775	71.0234
yss	Same	Yessan-Mayo	-4.15721	142.574
yua	Different	Yucatec Maya	18.7757	271.0433
yuj	Different	Karkar-Yuri	-3.74954	141.098
yut	Same	Yopno	-5.94085	146.661
yuw	Same	Yau-Nungon	-6.08274	146.841
yuz	Different	Yuracaré	-16.7479	294.8776
yva	Same	Yawa	-1.77196	136.263
zaa	Same	Sierra de Juárez Zapotec	17.4219	263.3809
zab	Same	Western Tlacolula Valley Zapotec	17.0332	263.4033
zac	Same	Ocotlán Zapotec	16.8258	263.2737
zad	Same	Cajonos Zapotec	17.1427	263.6648
zae	Same	Yareni Zapotec	17.3406	263.2948
zai	Same	Isthmus Zapotec	16.4548	265.1556
zam	Same	Cuixtla-Xitla Zapotec	16.2197	263.3353
zao	Same	Ozolotepec Zapotec	16.04	263.6314
zar	Same	Rincón Zapotec	17.4451	263.6856
zas	Same	Santo Domingo Albarradas Zapotec	17.0345	263.719
zat	Same	Tabaa Zapotec	17.2822	263.7223
zav	Same	Yatzachi Zapotec	17.1869	263.716
zaw	Same	Mitla Zapotec	16.86849	263.70566
zca	Same	Coatecas Altas Zapotec	16.5609	263.2664
cmn	Same	Mandarin Chinese	40.0209	116.228
zia	Same	Zia	-7.95814	147.579
ziw	Same	Zigula-Mushungulu	-5.61864	38.41138
zom	Same	Zou	24.0649	93.9253
zos	Different	Francisco León Zoque	17.3654	266.6367
zpc	Same	Choapan Zapotec	17.4371	264.1344
zpi	Same	Santa María Quiegolani Zapotec	16.033	263.9514
zpl	Same	Lachixío Zapotec	16.7215	263.0682
zpm	Same	Mixtepec Zapotec	16.1724	263.7628
zpo	Same	Amatlán Zapotec	16.2707	263.5997
zpq	Same	Zoogocho Zapotec	17.2016	263.6567
zpt	Same	San Vicente Coatlán Zapotec	16.2817	263.1333
zpu	Same	Yalálag Zapotec	17.2134	263.7817
zpv	Same	Chichicapan Zapotec	16.8459	263.4514
zpz	Same	Texmelucan Zapotec	16.49197	262.91053
zsm	Same	Standard Malay	3.08896	101.699
zsr	Same	Southern Rincon Zapotec	17.3031	263.6225
ztq	Same	Quioquitani-Quieri Zapotec	16.3416	263.8445
zty	Same	Yatee Zapotec	17.2888	263.802
zul	Same	Zulu	-28.9	30.2
zyb	Same	Yongbei Zhuang	23.1	108.15
zyp	Same	Zyphe	22.524	93.264
